epoch,accuracy,dice_coef,loss,lr,recall_1,val_accuracy,val_dice_coef,val_loss,val_recall_1
0,0.32384783029556274,0.6599445343017578,0.34033215045928955,1e-04,0.6365914344787598,0.4065124988555908,0.7191969156265259,0.279542475938797,0.7743088603019714
1,0.35867103934288025,0.7158019542694092,0.2842245399951935,1e-04,0.7194595336914062,0.433204710483551,0.7685984373092651,0.22954681515693665,0.9916785955429077
2,0.3684192895889282,0.7319725155830383,0.26798972487449646,1e-04,0.7817496061325073,0.43384110927581787,0.7829104661941528,0.21486301720142365,0.9998595714569092
3,0.372592955827713,0.7431061267852783,0.2567998468875885,1e-04,0.8097140192985535,0.43384501338005066,0.7863165140151978,0.21136356890201569,0.9999877214431763
4,0.3743705749511719,0.7532395720481873,0.24661853909492493,1e-04,0.8147991299629211,0.4338454604148865,0.7888572216033936,0.20876383781433105,0.9999997615814209
5,0.3749346435070038,0.762579619884491,0.23723141849040985,1e-04,0.8091116547584534,0.4338454604148865,0.7914100289344788,0.20618505775928497,1.0
6,0.37497496604919434,0.772026777267456,0.22773946821689606,1e-04,0.7973331809043884,0.4338454604148865,0.79380202293396,0.2037660926580429,1.0
7,0.3745650053024292,0.781493604183197,0.21823610365390778,1e-04,0.781554102897644,0.4338454604148865,0.7960740327835083,0.2014683037996292,1.0
8,0.37369513511657715,0.7904036045074463,0.20929409563541412,1e-04,0.7620609998703003,0.4338454604148865,0.7980448007583618,0.19947560131549835,1.0
9,0.37289106845855713,0.799018383026123,0.20066548883914948,1e-04,0.7423787117004395,0.4338454604148865,0.7999194264411926,0.19758152961730957,1.0
10,0.37209492921829224,0.807644784450531,0.1920221894979477,1e-04,0.7243415117263794,0.4338454604148865,0.8012388944625854,0.1962483525276184,1.0
11,0.37152692675590515,0.8161822557449341,0.18345960974693298,1e-04,0.7077308297157288,0.4338454604148865,0.802605390548706,0.1948687881231308,1.0
12,0.3713763654232025,0.8250933289527893,0.17452102899551392,1e-04,0.6962869763374329,0.4338454604148865,0.8037276864051819,0.19373399019241333,1.0
13,0.37260350584983826,0.8337421417236328,0.16584493219852448,1e-04,0.6956555247306824,0.4338454604148865,0.8049391508102417,0.1925104707479477,1.0
14,0.3738516569137573,0.8409503102302551,0.15861280262470245,1e-04,0.6962670087814331,0.4338454604148865,0.8063467741012573,0.1910904347896576,1.0
15,0.3745470643043518,0.8473953604698181,0.15215180814266205,1e-04,0.6937673687934875,0.4338454604148865,0.806869626045227,0.1905645728111267,1.0
16,0.3753296732902527,0.8524965047836304,0.14703969657421112,1e-04,0.6915322542190552,0.4338454604148865,0.8070575594902039,0.19037534296512604,1.0
17,0.3752082288265228,0.8566529750823975,0.14289145171642303,1e-04,0.6882076859474182,0.4338454604148865,0.8074794411659241,0.18994922935962677,1.0
18,0.3755896985530853,0.8588628172874451,0.14067986607551575,1e-04,0.6868759393692017,0.4338454604148865,0.8076510429382324,0.1897781640291214,1.0
19,0.37564027309417725,0.8620210886001587,0.13751082122325897,1e-04,0.685188889503479,0.4338454604148865,0.8086084127426147,0.1888110488653183,1.0
20,0.37600165605545044,0.8654142618179321,0.13410651683807373,1e-04,0.6824862957000732,0.4338454604148865,0.8087051510810852,0.18871676921844482,0.9999301433563232
21,0.3760758340358734,0.8677306771278381,0.1317833811044693,1e-04,0.6806106567382812,0.4338454604148865,0.809450626373291,0.18796566128730774,1.0
22,0.3764181137084961,0.8699709177017212,0.129534050822258,1e-04,0.6794379949569702,0.4338454604148865,0.809363067150116,0.18805436789989471,1.0
23,0.37641090154647827,0.8710947632789612,0.1284070611000061,1e-04,0.679044246673584,0.43383800983428955,0.8099471926689148,0.18746769428253174,0.9999150037765503
24,0.37613624334335327,0.8730285167694092,0.12646695971488953,1e-04,0.6771220564842224,0.4338434040546417,0.8101243376731873,0.18728864192962646,0.9999890923500061
25,0.3769397437572479,0.8759418725967407,0.12354012578725815,1e-04,0.675524890422821,0.4338228702545166,0.8104326725006104,0.18697874248027802,0.9999004006385803
26,0.37702032923698425,0.8774459958076477,0.1220305934548378,1e-04,0.6747649312019348,0.4338030219078064,0.8104556798934937,0.1869554966688156,0.9997631907463074
27,0.37700748443603516,0.8784882426261902,0.1209847703576088,1e-04,0.6735844612121582,0.43375885486602783,0.8109832406044006,0.18642285466194153,0.999200701713562
28,0.3772895634174347,0.879815399646759,0.11965196579694748,1e-04,0.6733869910240173,0.43378913402557373,0.8110038638114929,0.18640241026878357,0.9998100996017456
29,0.37717166543006897,0.8804357051849365,0.11902634054422379,1e-04,0.6737831830978394,0.43372786045074463,0.8112961053848267,0.18610793352127075,0.9993008375167847
30,0.3773708939552307,0.8812442421913147,0.11821579188108444,1e-04,0.6730696558952332,0.43376424908638,0.8114151954650879,0.18598835170269012,0.9994834065437317
31,0.3775523900985718,0.8826668858528137,0.11678944528102875,1e-04,0.671562910079956,0.4337962567806244,0.8115291595458984,0.1858724057674408,0.9996001720428467
32,0.3774760365486145,0.8838785290718079,0.11557543277740479,1e-04,0.670416533946991,0.43382057547569275,0.81169593334198,0.18570347130298615,0.9998289346694946
33,0.3779240548610687,0.8850328326225281,0.11441311985254288,1e-04,0.669826328754425,0.43381208181381226,0.8118557929992676,0.18554258346557617,0.9996659159660339
34,0.37810778617858887,0.8861314058303833,0.1133095994591713,1e-04,0.6693412661552429,0.4336923062801361,0.8119415640830994,0.1854483187198639,0.9987877607345581
35,0.378012090921402,0.8866854906082153,0.11275897920131683,1e-04,0.6686944961547852,0.4338182806968689,0.812096118927002,0.18530073761940002,0.9997543692588806
